title,price,link,site
Gaming PC,750,/elanlar/elektronika/komputerler/25069130,tapaz
Ultra Gaming and Workstation PC,2750,/elanlar/elektronika/komputerler/25066477,tapaz
Ultra PC i9 9900k,3100,/elanlar/elektronika/komputerler/25066280,tapaz
Pc Ram 2-Gb Ddr3 10600 Mhz ,15,/elanlar/elektronika/komputer-avadanliqi/25064834,tapaz
Gaming PC,2000,/elanlar/elektronika/komputerler/25062714,tapaz
Gaming PC ,570,/elanlar/elektronika/komputerler/25062256,tapaz
Super Gaming Pc,3750,/elanlar/elektronika/komputerler/25060168,tapaz
Gaming PC ,2250,/elanlar/elektronika/komputerler/25058668,tapaz
Ultra Gaming and Workstation PC,2190,/elanlar/elektronika/komputerler/25058392,tapaz
Ultra Gaming and Workstation PC,2400,/elanlar/elektronika/komputerler/25055450,tapaz
Gaming PC ,1590,/elanlar/elektronika/komputerler/25054789,tapaz
Gaming PC i7 10th,2450,/elanlar/elektronika/komputerler/25044428,tapaz
Ultra Gaming and Workstation PC,2000,/elanlar/elektronika/komputerler/25044363,tapaz
Monoblok HP 200 G4 All-in-One PC,822,/elanlar/elektronika/komputer-avadanliqi/25043820,tapaz
Gaming and Workstatoin Ultra Pc,2850,/elanlar/elektronika/komputerler/25042518,tapaz
Samsung ATIV SMART PC XE700T1C,400,/elanlar/elektronika/noutbuklar/25042246,tapaz
HP EliteDesk 800 G4 Desktop Mini Business PC,750,/elanlar/elektronika/komputerler/25041814,tapaz
Gaming PC ,3600,/elanlar/elektronika/komputerler/25039843,tapaz
Render / PC / 8k,4300,/elanlar/elektronika/komputerler/25039880,tapaz
Gaming PC ,1400,/elanlar/elektronika/komputerler/25037233,tapaz
Ultra Gaming and Workstation PC,2400,/elanlar/elektronika/komputerler/25037309,tapaz
HP mini PC,450,/elanlar/elektronika/komputerler/25037051,tapaz
Gaming PC,369,/elanlar/elektronika/komputerler/25036681,tapaz
PC üçün GamePad ,22,/elanlar/elektronika/oyunlar-ve-programlar/25036597,tapaz
"PC, PS3, Android Game Pad",42,/elanlar/elektronika/oyunlar-ve-programlar/25036480,tapaz
"PC, PS3, Android TV Game Pad",37,/elanlar/elektronika/oyunlar-ve-programlar/25036089,tapaz
Gaming PC,2170,/elanlar/elektronika/komputerler/25033415,tapaz
Gaming Render PC,3400,/elanlar/elektronika/komputerler/25026497,tapaz
Gamin PC,1250,/elanlar/elektronika/komputerler/25025210,tapaz
Gaming PC,699,/elanlar/elektronika/komputerler/25023786,tapaz
DDR-3 4-GB Ram Pc 12800 Mhz  ,30,/elanlar/elektronika/komputer-avadanliqi/25023718,tapaz
"Oyun kompüteri ""Gaming Pc""",1300,/elanlar/elektronika/komputerler/25022918,tapaz
HP EliteDesk 800 G1 SFF PC,370,/elanlar/elektronika/komputerler/25019913,tapaz
Dell Optiplex 3020 PC,400,/elanlar/elektronika/komputerler/25019662,tapaz
Dell Optiplex 7010 PC,370,/elanlar/elektronika/komputerler/25019491,tapaz
Lenovo ThinkCentre M93p PC,320,/elanlar/elektronika/komputerler/25019239,tapaz
Gaming PC ,350,/elanlar/elektronika/komputerler/25015147,tapaz
title,price,link,site
"CyberpowerPC Gamer Xtreme VR Gaming PC, Liquid Cool Intel Core i9-9900K 3.6GHz, NVIDIA GeForce RTX 2070 Super 8GB, 16GB DDR4, 1TB PCI-E NVMe SSD, WiFi Ready & Win 10 Home (GXiVR8080A8, Black)",3499,/CyberpowerPC-Xtreme-i9-9900K-GeForce-GXiVR8080A8/dp/B07TRPGPCL/ref=sr_1_1?dchild=1&keywords=pc&qid=1618499800&sr=8-1,amazon
"Skytech Archangel Gaming Computer PC Desktop – Ryzen 5 3600 3.6GHz, GTX 1660 Super 6G, 500GB SSD, 16GB DDR4 3000MHz, RGB Fans, Windows 10 Home 64-bit, 802.11AC Wi-Fi",1299,/Skytech-Archangel-Gaming-Computer-Desktop/dp/B088W1QJP1/ref=sr_1_2?dchild=1&keywords=pc&qid=1618499800&sr=8-2,amazon
"Skytech Chronos Mini Gaming PC Desktop - AMD Ryzen 3 3100, NVIDIA GTX 1650 4GB, 8GB DDR4, 500GB SSD, A320 Motherboard, 550 Watt Bronze, AC Wi-Fi, Windows 10 Home 64-bit",,/Skytech-Chronos-Mini-Gaming-Desktop/dp/B08SHV1GXF/ref=sr_1_3?dchild=1&keywords=pc&qid=1618499800&sr=8-3,amazon
"VR Ready HP Pavilion Gaming PC Desktop Computer, Intel Core i5-9400F, NVIDIA GeForce GTX 1660Ti, 8GB RAM, 256GB SSD, Windows 10 (690-0073w, Black)",,/HP-Pavilion-Computer-i5-9400F-690-0073w/dp/B082BHK58X/ref=sr_1_4?dchild=1&keywords=pc&qid=1618499800&sr=8-4,amazon
"HP All-in-One Desktop PC, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 512 GB SSD Storage, Full HD 23.8” Touchscreen, Windows 10 Home, Remote Work Ready, Mouse and Keyboard (24-df1270, 2021)",,/HP-i5-1135G7-Processor-Touchscreen-24-df1270/dp/B08JVMT8Y9/ref=sr_1_5?dchild=1&keywords=pc&qid=1618499800&sr=8-5,amazon
"SkyTech Blaze - Gaming Computer PC Desktop – Intel Core i5-9400F 6-Core 2.9 GHz, NVIDIA GeForce GTX 1650 4GB, 500G SSD, 8GB DDR4, AC WiFi, Windows 10 Home 64-bit",,/SkyTech-Blaze-Computer-Desktop-i5-9400F/dp/B07T9VBP7R/ref=sr_1_6?dchild=1&keywords=pc&qid=1618499800&sr=8-6,amazon
"CYBERPOWERPC Gamer Xtreme VR Gaming PC, Intel Core i5-9400F 2.9GHz, NVIDIA GeForce GTX 1660 6GB, 8GB DDR4, 240GB SSD, 1TB HDD, WiFi Ready & Win 10 Home (GXiVR8060A8, Black)",,/CYBERPOWERPC-Xtreme-i5-9400F-GeForce-GXiVR8060A8/dp/B07VGJDKZ4/ref=sr_1_7?dchild=1&keywords=pc&qid=1618499800&sr=8-7,amazon
