title,price,link,site
"iBUYPOWER Pro Gaming PC Computer Desktop Element Mini 167A (AMD Ryzen 5 3600 3.6GHz, NVIDIA GeForce GT 730 2GB, 8GB DDR4 RAM, 240GB SSD, WiFi Ready, Windows 10 Home)",718,/iBUYPOWER-Computer-Desktop-Element-167A/dp/B08VWNBWLL/ref=sr_1_1?dchild=1&keywords=PC&qid=1619718196&sr=8-1,amazon
"Thermaltake LCGS AH-370 SE AIO Liquid Cooled Gaming PC(AMD Ryzen 7 3700X 8-core, DDR4 3600Mhz 16GB RGB Memory, NVIDIA GeForce RTX 3070 Vision OC, 1TB NVMe M.2, WiFi, Win 10 Home) AHW2-B550-SE7-LCS",,/Thermaltake-AH-370-3600Mhz-GeForce-AHW2-B550-SE7-LCS/dp/B08YDTBT44/ref=sr_1_2?dchild=1&keywords=PC&qid=1619718196&sr=8-2,amazon
"ROG Strix G15CK Gaming Desktop PC, Intel Core i7-10700KF, GeForce RTX 2070 Super, 16GB DDR4 RAM, 512GB SSD, Wi-Fi 6, ROG Strix Flare Keyboard & Gladius II Mouse, Windows 10 Home, G15CK-BS772",,/Desktop-i7-10700KF-GeForce-Keyboard-G15CK-BS772/dp/B08D93XJN5/ref=sr_1_3?dchild=1&keywords=PC&qid=1619718196&sr=8-3,amazon
"HP Pavilion Gaming Desktop, NVIDIA GeForce GTX 1650, Intel Core i5-10400F, 8 GB DDR4 RAM, 256 GB PCIe NVMe SSD, Windows 10 Home, USB Mouse and Keyboard, Compact Tower Design (TG01-1020, 2020)",,/HP-Pavilion-i5-10400F-Keyboard-TG01-1020/dp/B08CWLCNWV/ref=sr_1_4?dchild=1&keywords=PC&qid=1619718196&sr=8-4,amazon
"2019 Lenovo IdeaCentre 510A Desktop Computer, 9th Gen Intel Hexa-Core i5-9400 up to 4.1GHz, 24GB DDR4 RAM, 1TB 7200RPM HDD + 256GB SSD, DVDRW, 802.11ac WiFi, Bluetooth, USB 3.1, HDMI, Windows 10 Home",,/Lenovo-IdeaCentre-510A-Hexa-Core-Bluetooth/dp/B07XC5LJV1/ref=sr_1_5?dchild=1&keywords=PC&qid=1619718196&sr=8-5,amazon
2021 Flagship Dell Inspiron 3000 3880 Desktop Computer 10th Gen Intel Hexa-Core i5-10400 (Beats i7-8700T) 16GB RAM 512GB SSD Intel UHD Graphics 630 WiFi No-DVD Win 10,,/Flagship-Dell-Inspiron-Computer-Hexa-Core/dp/B08W515CV4/ref=sr_1_6?dchild=1&keywords=PC&qid=1619718196&sr=8-6,amazon
"ASUS ExpertCenter D700SA, Small Form Factor Desktop PC, Intel Core i5-10400, 8GB DDR4 RAM, 512GB PCIe SSD, TPM 2.0, 3 Year Onsite Service, Wi-Fi 6, Windows 10 Professional, Black, D700SA-XB501",,/ASUS-ExpertCenter-i5-10400-Professional-D700SA-XB501/dp/B08FLHFN4P/ref=sr_1_7?dchild=1&keywords=PC&qid=1619718196&sr=8-7,amazon
"MSI Cubi 5 10M-066US Mini PC, Intel Core i5-10210U, 8GB DDR4 RAM, 256GB SSD, 1TB HDD, 802.11ac WiFi, BT 5.1, USB Type-C, Windows 10 Home",,/MSI-Cubi-10M-066US-i5-10210U-802-11ac/dp/B08D72RTW6/ref=sr_1_8?dchild=1&keywords=PC&qid=1619718196&sr=8-8,amazon
"VR Ready HP Pavilion Gaming PC Desktop Computer, Intel Core i5-9400F, NVIDIA GeForce GTX 1660Ti, 8GB RAM, 256GB SSD, Windows 10 (690-0073w, Black)",,/HP-Pavilion-Computer-i5-9400F-690-0073w/dp/B082BHK58X/ref=sr_1_9?dchild=1&keywords=PC&qid=1619718196&sr=8-9,amazon
"iBUYPOWER Pro Gaming PC Computer Desktop Trace 4 93G730 (AMD Ryzen 5 3600 3.6GHz, NVIDIA GeForce GT 730 2GB, 8GB DDR4 RAM, 240GB SSD, WiFi Ready, Windows 10 Home)",745,/iBUYPOWER-Computer-Desktop-93G730-GeForce/dp/B08STJRXNN/ref=sr_1_10?dchild=1&keywords=PC&qid=1619718196&sr=8-10,amazon
